ID,title,Year,Age,IMDb,primary_genre,Netflix,Hulu,Prime Video,Disney+,Type,Runtime_Range
1,Room,2015,18+,8.1,Drama,1.0,0,0,0,0,90-120
2,Drive,2011,18+,7.8,Crime,1.0,0,1,0,0,90-120
3,13th,2016,18+,8.2,Documentary,1.0,0,0,0,0,90-120
4,Dolemite Is My Name,2019,18+,7.3,Biography,1.0,0,0,0,0,90-120
5,Icarus,2017,18+,7.9,Documentary,1.0,0,0,0,0,90-120
6,The Little Prince,2015,7+,7.7,Animation,1.0,0,0,0,0,90-120
7,Bill Burr: I'm Sorry You Feel That Way,2014,18+,8.4,Comedy,1.0,0,0,0,0,60-90
8,Mudbound,2017,18+,7.4,Drama,1.0,0,0,0,0,120-180
9,Miss Americana,2020,18+,7.4,Documentary,1.0,0,0,0,0,60-90
10,I Lost My Body,2019,18+,7.6,Animation,1.0,0,0,0,0,60-90
11,I Am Mother,2019,13+,6.7,Drama,1.0,0,0,0,0,90-120
12,The Breadwinner,2017,13+,7.7,Animation,1.0,0,0,0,0,90-120
13,The Boy Who Harnessed the Wind,2019,7+,7.6,Drama,1.0,0,1,0,0,90-120
14,Always Be My Maybe,2019,13+,6.8,Comedy,1.0,0,0,0,0,90-120
15,Shot Caller,2017,18+,7.3,Crime,1.0,0,0,0,0,120-180
16,The Fundamentals of Caring,2016,18+,7.3,Comedy,1.0,0,1,0,0,90-120
17,Bill Burr: Paper Tiger,2019,18+,8.2,Comedy,1.0,0,0,0,0,60-90
18,The Girl with All the Gifts,2016,18+,6.6,Drama,1.0,0,0,0,0,90-120
19,Mirage,2018,18+,7.4,Drama,1.0,0,1,0,0,120-180
20,Under the Shadow,2016,13+,6.9,Drama,1.0,0,0,0,0,60-90
21,Kon-Tiki,2012,13+,7.2,Adventure,1.0,0,1,0,0,90-120
22,The Night Comes for Us,2018,18+,7.0,Action,1.0,0,0,0,0,120-180
23,Stree,2018,7+,7.6,Comedy,1.0,0,0,0,0,120-180
24,American Factory,2019,16+,7.4,Documentary,1.0,0,0,0,0,90-120
25,The One I Love,2014,18+,7.1,Comedy,1.0,0,0,0,0,90-120
26,The Willoughbys,2020,7+,6.4,Animation,1.0,0,0,0,0,60-90
27,The White Helmets,2016,16+,7.5,Documentary,1.0,0,0,0,0,30-60
28,The Perfection,2018,18+,6.1,Drama,1.0,0,0,0,0,60-90
29,Ip Man 3,2015,13+,7.1,Action,1.0,0,0,0,0,90-120
30,Dave Chappelle: Sticks & Stones,2019,18+,8.5,Comedy,1.0,0,0,0,0,60-90
31,John Mulaney: Kid Gorgeous at Radio City,2018,18+,7.9,Comedy,1.0,0,0,0,0,60-90
32,The Edge of Democracy,2019,16+,7.1,Documentary,1.0,0,0,0,0,120-180
33,Undefeated,2011,13+,7.7,Documentary,1.0,0,0,0,0,90-120
34,A Shaun the Sheep Movie: Farmageddon,2019,all,6.9,Animation,1.0,0,0,0,0,60-90
35,The Highwaymen,2019,18+,6.9,Biography,1.0,0,0,0,0,120-180
36,Louis C.K. 2017,2017,18+,7.6,Comedy,1.0,0,0,0,0,60-90
37,1922,2017,18+,6.3,Crime,1.0,0,0,0,0,90-120
38,Child's Play,1988,18+,6.6,Horror,1.0,0,1,0,0,60-90
39,The Christmas Chronicles,2018,7+,7.1,Adventure,1.0,0,1,0,0,90-120
40,Adam Sandler: 100% Fresh,2018,18+,7.6,Comedy,1.0,0,0,0,0,60-90
41,Paddleton,2019,18+,7.2,Comedy,1.0,0,0,0,0,60-90
42,Being Elmo: A Puppeteer's Journey,2011,7+,7.6,Documentary,1.0,0,0,0,0,60-90
43,Calibre,2018,18+,6.7,Drama,1.0,0,0,0,0,90-120
44,First They Killed My Father,2017,18+,7.2,Biography,1.0,0,0,0,0,120-180
45,Outlaw King,2018,18+,6.9,Action,1.0,0,0,0,0,120-180
46,Dear Ex,2018,18+,7.4,Comedy,1.0,0,0,0,0,90-120
47,Girl,2018,18+,7.2,Drama,1.0,0,1,0,0,90-120
48,The Ritual,2017,18+,6.3,Horror,1.0,0,0,0,0,90-120
49,Spectral,2016,13+,6.3,Action,1.0,0,0,0,0,90-120
50,The Babysitter,2017,18+,6.3,Comedy,1.0,0,1,0,0,60-90
51,"Extremely Wicked, Shockingly Evil and Vile",2019,18+,6.6,Biography,1.0,0,0,0,0,90-120
52,The Duchess,2008,13+,6.9,Biography,1.0,0,1,0,0,90-120
53,Get Me Roger Stone,2017,16+,7.4,Documentary,1.0,0,0,0,0,90-120
54,Alex Strangelove,2018,18+,6.3,Comedy,1.0,0,0,0,0,90-120
55,Hotel Transylvania 3: Summer Vacation,2018,7+,6.3,Animation,1.0,0,0,0,0,90-120
56,Our Souls at Night,2017,16+,6.9,Drama,1.0,0,0,0,0,90-120
57,Next Gen,2018,7+,6.6,Animation,1.0,0,0,0,0,90-120
58,Cam,2018,18+,5.9,Horror,1.0,0,0,0,0,90-120
59,Uncorked,2020,13+,6.1,Drama,1.0,0,0,0,0,90-120
60,Gaga: Five Foot Two,2017,18+,7.0,Documentary,1.0,0,0,0,0,90-120
61,Ali's Wedding,2017,18+,6.9,Comedy,1.0,0,0,0,0,90-120
62,They'll Love Me When I'm Dead,2018,18+,7.4,Documentary,1.0,0,0,0,0,90-120
63,Badla,2019,7+,7.9,Crime,1.0,0,0,0,0,90-120
64,The Dirt,2019,18+,7.0,Biography,1.0,0,0,0,0,90-120
65,Spenser Confidential,2020,18+,6.2,Action,1.0,0,0,0,0,90-120
66,Wheelman,2017,18+,6.4,Action,1.0,0,0,0,0,60-90
67,The Half of It,2020,13+,7.0,Comedy,1.0,0,0,0,0,90-120
68,Tigertail,2020,7+,6.4,Drama,1.0,0,0,0,0,90-120
69,Fractured,2019,18+,6.4,Mystery,1.0,0,0,0,0,90-120
70,Time Trap,2017,18+,6.5,Action,1.0,0,0,0,0,60-90
71,All the Bright Places,2020,18+,6.5,Drama,1.0,0,0,0,0,90-120
72,The Photographer of Mauthausen,2018,18+,6.7,Biography,1.0,0,0,0,0,90-120
73,Forks Over Knives,2011,7+,7.7,Documentary,1.0,0,0,0,0,90-120
74,Blame!,2017,13+,6.7,Animation,1.0,1,1,0,0,90-120
75,Rocko's Modern Life: Static Cling,2019,7+,7.0,Animation,1.0,0,0,0,0,30-60
76,The World Is Yours,2018,18+,6.4,Comedy,1.0,0,0,0,0,90-120
77,Berlin Syndrome,2017,18+,6.3,Drama,1.0,0,0,0,0,90-120
78,Furie,2019,18+,5.8,Action,1.0,0,0,0,0,120-180
79,Stonehearst Asylum,2014,13+,6.8,Drama,1.0,0,0,0,0,90-120
80,The Wandering Earth,2019,13+,6.0,Action,1.0,0,0,0,0,120-180
81,Bon Cop Bad Cop,2006,13+,6.8,Action,1.0,0,0,0,0,90-120
82,Dukhtar,2014,7+,7.0,Drama,1.0,0,0,0,0,90-120
83,Mowgli: Legend of the Jungle,2018,13+,6.5,Adventure,1.0,0,0,0,0,90-120
84,Jimmy Neutron: Boy Genius,2001,all,6.0,Animation,1.0,0,0,0,0,60-90
85,Soni,2019,18+,7.2,Crime,1.0,0,0,0,0,90-120
86,To All the Boys: P.S. I Still Love You,2020,16+,6.0,Comedy,1.0,0,0,0,0,90-120
87,The Angel,2018,18+,6.6,Drama,1.0,0,1,0,0,90-120
88,Kodachrome,2017,18+,6.8,Drama,1.0,0,0,0,0,90-120
89,Laggies,2014,18+,6.4,Comedy,1.0,0,0,0,0,90-120
90,Fire in Paradise,2019,18+,7.4,Documentary,1.0,0,0,0,0,30-60
91,Before I Wake,2016,13+,6.2,Drama,1.0,0,0,0,0,90-120
92,"Bikram: Yogi, Guru, Predator",2019,18+,6.7,Documentary,1.0,0,0,0,0,60-90
93,The Other Side of the Wind,2018,18+,6.8,Drama,1.0,0,0,0,0,120-180
94,Let It Fall: Los Angeles 1982-1992,2017,18+,7.7,Documentary,1.0,0,0,0,0,120-180
95,Nappily Ever After,2018,18+,6.4,Comedy,1.0,0,0,0,0,90-120
96,A Futile and Stupid Gesture,2018,18+,6.8,Biography,1.0,0,0,0,0,90-120
97,Between Two Ferns: The Movie,2019,18+,6.1,Comedy,1.0,0,0,0,0,60-90
98,Mr. Roosevelt,2017,18+,6.2,Comedy,1.0,0,0,0,0,60-90
