title,year,duration,primary_genre,rating,vote_Range
Devil in Ohio,(2022),356 min,Drama,5.9,0-20000
Cyberpunk: Edgerunners,(2022– ),24 min,Animation,8.6,0-20000
The Imperfects,(2022– ),45 min,Action,6.3,0-20000
Blonde,(2022),166 min,Biography,6.2,0-20000
End of the Road,(II) (2022),89 min,Action,4.7,0-20000
Glass Onion: A Knives Out Mystery,(2022),139 min,Crime,8.1,0-20000
Do Revenge,(2022),118 min,Comedy,6.4,0-20000
I Came By,(2022),110 min,Thriller,6.1,0-20000
No Limit,(2022),118 min,Drama,5.8,0-20000
The Accidental Narco,(2022– ),50 min,Action,7.4,0-20000
Echoes,(2022),326 min,Drama,5.9,0-20000
Me Time,(2022),101 min,Comedy,5.0,20000-40000
Partner Track,(2022– ),60 min,Drama,6.8,0-20000
Love in the Villa,(2022),114 min,Comedy,5.3,0-20000
Ófærð,(2015– ),60 min,Crime,8.0,20000-40000
Never Have I Ever,(2020–2023),30 min,Comedy,7.9,40000-60000
Manifest,(2018– ),43 min,Drama,7.1,40000-60000
Locke & Key,(2020–2022),48 min,Drama,7.3,80000-100000
Day Shift,(2022),113 min,Action,6.1,60000-80000
Virgin River,(2019– ),44 min,Drama,7.4,40000-60000
Animal Kingdom,(2016–2022),60 min,Crime,8.2,20000-40000
Diario de un Gigoló,(2022),50 min,Drama,6.3,0-20000
Heartbreak High,(2022– ),50 min,Drama,7.6,0-20000
Blue Bloods,(2010– ),43 min,Crime,7.7,40000-60000
Bee and PuppyCat,(2013– ),7 min,Animation,8.2,0-20000
Loving Adults,(2022),104 min,Crime,6.5,0-20000
Sing 2,(2021),110 min,Animation,7.4,60000-80000
All Quiet on the Western Front,(2022),147 min,Action,8.3,0-20000
Kleo,(2022– ),44 min,Action,7.5,0-20000
Dahmer - Monster: The Jeffrey Dahmer Story,(2022),534 min,Biography,8.5,0-20000
Look Both Ways,(2022),110 min,Comedy,6.3,0-20000
365 Days,(2020),114 min,Drama,3.3,80000-100000
I Used to Be Famous,(2022),104 min,Comedy,6.6,0-20000
Purple Hearts,(2022),122 min,Drama,6.7,20000-40000
The Good Doctor,(2017– ),41 min,Drama,8.1,80000-100000
Extraordinary Attorney Woo,(2022),75 min,Drama,8.9,0-20000
Billions,(2016– ),60 min,Drama,8.4,80000-100000
Titans,(I) (2018– ),45 min,Action,7.6,80000-100000
The Catholic School,(2021),106 min,Drama,5.8,0-20000
Chesapeake Shores,(2016–2022),42 min,Drama,7.5,0-20000
Demon Slayer: Kimetsu no Yaiba,(2019– ),24 min,Animation,8.7,80000-100000
"Murder, She Wrote",(1984–1996),50 min,Crime,7.1,20000-40000
From,(2022– ),52 min,Drama,7.6,0-20000
Spiderhead,(2022),106 min,Action,5.4,40000-60000
CSI: Crime Scene Investigation,(2000–2015),60 min,Crime,7.7,80000-100000
Evil,(2019– ),42 min,Crime,7.7,20000-40000
The Lincoln Lawyer,(2022– ),60 min,Crime,7.7,20000-40000
Heartland,(II) (2007– ),45 min,Drama,8.4,0-20000
Mo,(2022– ),30 min,Comedy,7.6,0-20000
Inventing Anna,(2022),65 min,Drama,6.8,60000-80000
Doc Martin,(2004–2022),46 min,Comedy,8.4,0-20000
Hawaii Five-0,(2010–2020),42 min,Action,7.4,60000-80000
Star Trek: The Original Series,(1966–1969),50 min,Action,8.4,80000-100000
The Next 365 Days,(2022),112 min,Drama,2.7,0-20000
Murdoch Mysteries,(2008– ),48 min,Crime,8.2,0-20000
The Good Wife,(2009–2016),43 min,Crime,8.4,60000-80000
Shadow and Bone,(2021– ),60 min,Action,7.6,80000-100000
Sex/Life,(2021– ),45 min,Comedy,5.4,20000-40000
"Roswell, New Mexico",(2019–2022),45 min,Drama,6.2,0-20000
Vikings: Valhalla,(2022– ),51 min,Action,7.2,20000-40000
New Amsterdam,(2018– ),43 min,Drama,8.0,20000-40000
The Good Nurse,(2022),121 min,Biography,7.8,0-20000
365 Days: This Day,(2022),111 min,Drama,2.6,0-20000
Cheers,(1982–1993),22 min,Comedy,7.9,40000-60000
Line of Duty,(2012–2021),60 min,Crime,8.7,40000-60000
Pieces of Her,(2022– ),52 min,Crime,6.3,20000-40000
Star Wars: The Clone Wars,(2008–2020),23 min,Animation,8.4,80000-100000
Star Trek: Deep Space Nine,(1993–1999),45 min,Action,8.1,60000-80000
Santo,(2022– ),45 min,Action,5.0,0-20000
Delhi Crime,(2019– ),50 min,Crime,8.5,20000-40000
JoJo's Bizarre Adventure,(2012– ),30 min,Animation,8.4,20000-40000
American Crime Story,(2016– ),42 min,Biography,8.4,80000-100000
Dynasty,(2017–2022),42 min,Drama,7.2,20000-40000
The Americans,(2013–2018),44 min,Crime,8.4,80000-100000
The Tudors,(2007–2010),60 min,Drama,8.1,60000-80000
The Poison Rose,(2019),98 min,Crime,4.7,0-20000
Star Trek: Voyager,(1995–2001),44 min,Action,7.8,60000-80000
NCIS: Los Angeles,(2009– ),43 min,Action,6.7,40000-60000
Persuasion,(I) (2022),108 min,Drama,5.7,20000-40000
Good Girls,(2018–2021),43 min,Comedy,7.7,40000-60000
Jogi,(2022),116 min,Drama,7.5,0-20000
Uncoupled,(2022– ),30 min,Comedy,7.0,0-20000
Longmire,(2012–2017),60 min,Action,8.3,20000-40000
The Anthrax Attacks,(2022),94 min,Documentary,6.2,0-20000
Outer Banks,(2020– ),50 min,Action,7.6,40000-60000
Derry Girls,(2018–2022),30 min,Comedy,8.5,20000-40000
Anatomy of a Scandal,(2022),268 min,Drama,7.0,20000-40000
Broad Peak,(2022),101 min,Adventure,5.9,0-20000
The Sea Beast,(2022),115 min,Animation,7.1,20000-40000
Operation Mincemeat,(2021),128 min,Drama,6.6,20000-40000
Alchemy of Souls,(2022– ),80 min,Action,8.7,0-20000
Chip 'n Dale: Rescue Rangers,(2022),97 min,Animation,7.0,20000-40000
Wedding Season,(2022),98 min,Comedy,6.3,0-20000
Knock Knock,(I) (2015),99 min,Drama,4.9,80000-100000
Maid,(2021),545 min,Drama,8.4,80000-100000
Top Boy,(2011– ),60 min,Crime,8.4,20000-40000
Emily in Paris,(2020– ),30 min,Comedy,6.9,80000-100000
Elite,(2018– ),60 min,Crime,7.4,60000-80000
The Little Things,(2021),128 min,Crime,6.3,80000-100000
Naruto,(2002–2007),24 min,Animation,8.4,80000-100000
Scorpion,(2014–2018),43 min,Action,7.0,40000-60000
Adventure Time,(2010–2018),11 min,Animation,8.6,80000-100000
Dead to Me,(2019–2022),30 min,Comedy,8.0,60000-80000
Designated Survivor,(2016–2019),60 min,Action,7.5,80000-100000
Dracula,(2020),270 min,Action,6.8,40000-60000
Narcos: Mexico,(2018–2021),50 min,Crime,8.4,80000-100000
That's Amor,(2022),96 min,Comedy,5.2,0-20000
Resident Evil,(2022),60 min,Action,4.0,20000-40000
Grace and Frankie,(2015–2022),30 min,Comedy,8.2,40000-60000
