title,rating,Runtime
Friends,8.9,22.0
Echoes,5.9,60.0
Look Both Ways,6.3,100.0
The Lincoln Lawyer,7.7,118.0
Homeland,8.3,55.0
Taxi Driver,8.2,114.0
The Poison Rose,4.7,98.0
El Camino: A Breaking Bad Movie,7.3,122.0
The King,7.3,140.0
Sicario,7.6,121.0
The Guilty,6.3,85.0
Scorpion,7.0,43.0
Snowpiercer,6.9,60.0
Kill Bill: Vol. 1,8.2,111.0
Annihilation,6.8,115.0
The Irishman,7.8,209.0
Booksmart,7.1,102.0
Frozen,7.4,102.0
Heartstopper,8.7,92.0
The Watcher,5.3,103.0
The Platform,7.0,94.0
Fighting with My Family,7.1,108.0
Captain America: Civil War,7.8,147.0
6 Underground,6.1,128.0
Public Enemies,7.0,140.0
The Invitation,6.6,100.0
Terrifier,5.6,82.0
Polar,6.3,118.0
The Ballad of Buster Scruggs,7.3,133.0
Willy Wonka & the Chocolate Factory,7.8,100.0
The Vault,6.4,91.0
Footloose,6.6,113.0
Gerald's Game,6.5,103.0
Below Her Mouth,5.5,94.0
Moonlight,7.4,111.0
Marriage Story,7.9,137.0
Hell or High Water,7.6,102.0
Army of the Dead,5.7,
Rosemary's Baby,8.0,137.0
Monty Python and the Holy Grail,8.2,91.0
Climax,6.9,97.0
The Babysitter,6.3,85.0
Outlaw King,6.9,121.0
Extraction,6.7,116.0
Bird Box,6.6,124.0
Shot Caller,7.3,121.0
Lou,5.9,12.0
Life of Brian,8.0,94.0
Cars 3,6.7,102.0
Robin Hood,5.3,140.0
The Ritual,6.3,94.0
The Emperor's New Groove,7.4,78.0
"Extremely Wicked, Shockingly Evil and Vile",6.7,110.0
Newness,6.3,117.0
Maestro,7.3,94.0
Hush,6.6,82.0
Kill Bill: Vol. 2,8.0,137.0
Between Two Ferns: The Movie,6.1,82.0
The Dirt,6.9,107.0
Lilo & Stitch,7.3,85.0
The Invisible Guest,8.0,106.0
The Snowman,5.1,119.0
The Kissing Booth,5.9,105.0
Conan the Barbarian,5.1,129.0
1922,6.2,102.0
Green Room,7.0,95.0
Murder Mystery,6.0,97.0
Hunt for the Wilderpeople,7.8,101.0
What Happened to Monday,6.8,123.0
As Good as It Gets,7.7,139.0
The Danish Girl,7.1,119.0
Fractured,6.4,99.0
Utopia,8.4,50.0
The Bad Batch,5.2,118.0
The Killer,6.0,105.0
Locke,7.1,85.0
First Kill,6.4,97.0
Family Secrets,5.9,87.0
Triple Frontier,6.4,125.0
Rango,7.2,107.0
To All the Boys I've Loved Before,7.0,99.0
Sweet Home,7.3,80.0
The Tourist,6.0,103.0
Set It Up,6.5,105.0
Home Team,6.0,91.0
In the Shadow of the Moon,6.2,115.0
How It Ends,5.0,113.0
The Little Mermaid,4.2,83.0
Okja,7.3,120.0
Roma,7.7,52.0
Hotel Mumbai,7.6,123.0
The Challenge,7.8,30.0
Dark Places,6.2,113.0
Apostle,6.3,130.0
Finding Dory,7.3,97.0
The Next Three Days,7.3,133.0
101 Dalmatians,5.7,103.0
How to Train Your Dragon: The Hidden World,7.4,104.0
Death Wish,6.3,107.0
Sand Castle,6.3,113.0
I See You,6.8,96.0
The Croods,7.2,98.0
Mirage,7.4,128.0
The Cloverfield Paradox,5.5,102.0
Miracle in Cell No. 7,8.2,132.0
The Wrong Missy,5.7,90.0
The Italian Job,7.2,111.0
Along for the Ride,6.1,99.0
Forgotten,7.4,108.0
Macbeth,6.6,113.0
White Girl,5.7,88.0
Spenser Confidential,6.2,111.0
Downsizing,5.7,135.0
Serenity,5.4,106.0
Mirror Mirror,5.6,106.0
Eli,5.8,53.0
The Lorax,6.4,86.0
Velvet Buzzsaw,5.7,113.0
Bright,6.3,117.0
The Highwaymen,6.9,132.0
Child's Play,5.7,90.0
All the Bright Places,6.5,107.0
Awake,4.9,92.0
Mudbound,7.4,134.0
Late Night,6.5,102.0
The Ghost Writer,7.2,128.0
Tomorrow,7.8,124.0
In the Tall Grass,5.4,101.0
Someone Great,6.1,92.0
Lost Girls,6.1,95.0
Blockbuster,5.5,85.0
Calibre,6.8,101.0
Hot Girls Wanted,6.1,84.0
Klaus,8.1,96.0
Before I Wake,6.2,97.0
Horse Girl,5.9,103.0
Operation Finale,6.6,122.0
To the Bone,6.8,107.0
The Red Sea Diving Resort,6.6,129.0
Hotel Transylvania 3: Summer Vacation,6.3,97.0
You Get Me,4.7,89.0
The Perfection,6.2,90.0
Anon,6.1,100.0
Super Dark Times,6.6,103.0
Malevolent,4.8,89.0
Dumbo,7.2,112.0
You People,5.9,94.0
I Spit on Your Grave 2,5.7,106.0
Cam,5.9,94.0
Better Watch Out,6.5,89.0
Mowgli: Legend of the Jungle,6.5,104.0
The Package,5.5,94.0
Circle,6.0,87.0
The Outsider,6.2,60.0
Dumplin',6.5,110.0
The Ridiculous 6,4.8,119.0
Wine Country,5.4,103.0
Sharknado,3.3,86.0
Abducted in Plain Sight,6.8,91.0
The Promise,6.0,133.0
When We First Met,6.4,97.0
I Am Mother,6.7,113.0
The Last Stand,6.3,107.0
The Clovehitch Killer,6.5,109.0
Neon Genesis Evangelion: The End of Evangelion,8.0,87.0
Brooklyn's Finest,6.7,132.0
Thelma,7.0,116.0
Always Be My Maybe,6.8,101.0
Extinction,5.8,95.0
Drinking Buddies,6.1,90.0
The Laundromat,6.3,95.0
Inside,8.6,97.0
Black Book,7.7,145.0
Wounds,4.1,95.0
Beasts of No Nation,7.7,137.0
A Futile and Stupid Gesture,6.7,101.0
Tangerine,7.1,88.0
Hold the Dark,5.6,125.0
The Half of It,6.9,104.0
Redemption,6.2,100.0
A Perfect Ending,5.6,110.0
Code 8,6.1,98.0
The Two Popes,7.6,125.0
The Kindergarten Teacher,6.7,96.0
Suite Française,7.0,107.0
Shutter,7.0,97.0
Contraband,6.4,109.0
War Machine,6.0,122.0
Dude,5.1,97.0
Tall Girl,5.2,101.0
The One I Love,7.0,91.0
Halston,7.5,
Hit & Run,7.0,100.0
The Night Comes for Us,6.9,121.0
The Last Thing He Wanted,4.3,115.0
One Shot,5.6,130.0
Black Mirror: Bandersnatch,7.1,90.0
Unthinkable,7.0,97.0
Berlin Syndrome,6.2,116.0
Fun Mom Dinner,5.3,81.0
Lady Chatterley's Lover,5.2,89.0
"Game Over, Man!",5.4,101.0
Mute,5.4,126.0
Killers,5.4,100.0
Jimmy Neutron: Boy Genius,6.0,82.0
Naked,5.4,132.0
Under the Shadow,6.8,84.0
Thumbelina,6.2,86.0
