title,year,certificate,duration,genre,rating,description,stars,votes,ID,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Directors,Genres,Country,Language,Runtime,primary_genre
Friends,(1994–2004),TV-14,22 min,"Comedy, Romance",8.9,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,"['Jennifer Aniston, ', 'Courteney Cox, ', 'Lisa Kudrow, ', 'Matt LeBlanc']","979,424",6519,1971,18+,6.6,17%,0.0,0,1,0,0,,"Comedy,Romance",United States,"English,Dutch,Italian,French",22.0,Comedy
Echoes,(2022),TV-MA,326 min,"Drama, Mystery, Thriller",5.9,"Leni and Gina are identical twins who have secretly swapped their lives since they were children, culminating in a double life as adults, but one of the sisters goes missing and everything in their perfectly schemed world turns into chaos.","['Michelle Monaghan, ', 'Matt Bomer, ', 'Karen Robinson, ', 'Ali Stroker']","9,380",11549,2014,,4.4,,0.0,0,1,0,0,,"Drama,Romance",United Kingdom,English,60.0,Drama
Look Both Ways,(2022),TV-14,110 min,"Comedy, Drama, Romance",6.3,"On the eve of her college graduation, Natalie's life diverges into parallel realities: one in which she becomes pregnant and remains in her hometown to raise her child and another in which she moves to LA to pursue her dream career.","['Wanuri Kahiu', '| ', '    Stars:', 'Lili Reinhart, ', 'Danny Ramirez, ', 'Aisha Dee, ', 'Jaden Tolliver']","14,313",5462,2005,13+,7.0,75%,0.0,0,1,0,0,Sarah Watt,"Drama,Mystery,Romance",Australia,English,100.0,Drama
The Lincoln Lawyer,(2022– ),TV-MA,60 min,"Crime, Drama, Mystery",7.7,An iconoclastic idealist runs his law practice out of the back of his Lincoln Town Car in this series based on Michael Connelly's bestselling novels.,"['Manuel Garcia-Rulfo, ', 'Neve Campbell, ', 'Becki Newton, ', 'Angus Sampson']","35,356",4478,2011,18+,7.3,84%,0.0,0,1,0,0,Brad Furman,"Crime,Drama,Thriller",United States,English,118.0,Crime
Homeland,(2011–2020),TV-MA,55 min,"Crime, Drama, Mystery",8.3,A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.,"['Claire Danes, ', 'Mandy Patinkin, ', 'Damian Lewis, ', 'Rupert Friend']","339,482",3484,2019,,,,1.0,0,0,0,0,,"Crime,Drama,Mystery,Thriller",United States,English,55.0,Crime
Taxi Driver,(1976),R,114 min,"Crime, Drama",8.2,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.","['Martin Scorsese', '| ', '    Stars:', 'Robert De Niro, ', 'Jodie Foster, ', 'Cybill Shepherd, ', 'Albert Brooks']","819,599",11,1976,18+,8.3,95%,1.0,0,0,0,0,Martin Scorsese,"Crime,Drama",United States,"English,Spanish",114.0,Crime
The Poison Rose,(2019),R,98 min,"Crime, Mystery, Thriller",4.7,"Inspired by classic film noir, Carson Phillips, an ex-football star turned PI, has a soft spot for a lady in distress.","['Francesco Cinquemani, ', 'George Gallo', '| ', '    Stars:', 'John Travolta, ', 'Morgan Freeman, ', 'Brendan Fraser, ', 'Famke Janssen']","9,475",7894,2019,18+,4.6,,0.0,0,1,0,0,"Francesco Cinquemani,George Gallo",Thriller,"Italy,United States","English,Spanish",98.0,Thriller
El Camino: A Breaking Bad Movie,(2019),TV-MA,122 min,"Action, Crime, Drama",7.3,"Fugitive Jesse Pinkman runs from his captors, the law, and his past.","['Vince Gilligan', '| ', '    Stars:', 'Aaron Paul, ', 'Jonathan Banks, ', 'Matt Jones, ', 'Charles Baker']","243,473",69,2019,18+,7.4,91%,1.0,0,0,0,0,Vince Gilligan,"Action,Crime,Drama",United States,English,122.0,Action
The King,(I) (2019),R,140 min,"Biography, Drama, History",7.3,"Hal, wayward prince and heir to the English throne, is crowned King Henry V after his tyrannical father dies. Now the young king must navigate palace politics, the war his father left behind, and the emotional strings of his past life.","['David Michôd', '| ', '    Stars:', 'Tom Glynn-Carney, ', 'Gábor Czap, ', 'Tom Fisher, ', 'Edward Ashley']","127,673",169,2019,18+,7.2,70%,1.0,0,0,0,0,David Michôd,"Biography,Drama,History,Romance,War","United Kingdom,Hungary,United States,Australia","English,French",140.0,Biography
Sicario,(2015),R,121 min,"Action, Crime, Drama",7.6,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,"['Denis Villeneuve', '| ', '    Stars:', 'Emily Blunt, ', 'Josh Brolin, ', 'Benicio Del Toro, ', 'Jon Bernthal']","425,967",7119,1994,18+,6.5,,0.0,0,1,0,0,Denis Villeneuve,"Action,Crime,Drama,Mystery,Thriller","United States,Mexico,Hong Kong","English,Spanish",121.0,Action
